epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.78607,1.67923,4.48787,1.54907,0.00521,0.69252,0.17075,0.14044,1.27712,3.97378,1.48559,6.426e-05,6.426e-05,6.426e-05
2,5.75585,1.27443,4.03139,1.36846,0.01902,0.82857,0.2982,0.26444,1.13038,3.82264,1.27435,0.000132974,0.000132974,0.000132974
3,7.22904,1.19554,3.50778,1.26384,0.02092,0.85714,0.38204,0.3301,1.22604,3.68058,1.33564,0.00019886,0.00019886,0.00019886
4,8.63001,1.1027,3.17419,1.20593,0.01224,0.8,0.38466,0.33748,1.07344,3.54363,1.21083,0.000261919,0.000261919,0.000261919
5,9.95979,1.03044,2.71492,1.19274,0.01016,0.85,0.51099,0.44689,0.97094,3.28917,1.20655,0.000322151,0.000322151,0.000322151
6,11.3075,0.94886,2.37975,1.16681,0.9245,0.10426,0.56379,0.50224,1.03183,3.04816,1.28116,0.000379555,0.000379555,0.000379555
7,12.6017,0.92666,2.1835,1.14282,1,0.12731,0.66123,0.60758,1.02852,2.9004,1.28654,0.000434132,0.000434132,0.000434132
8,13.9195,0.9771,2.19244,1.17178,0.9108,0.16979,0.65095,0.60186,1.03791,2.87962,1.31109,0.000485881,0.000485881,0.000485881
9,15.2149,0.9792,2.04006,1.16328,0.99231,0.27491,0.72019,0.66495,1.03725,2.48903,1.29119,0.000534803,0.000534803,0.000534803
10,16.5406,0.94965,2.0752,1.1378,0.8105,0.38915,0.69295,0.59645,1.22497,2.61267,1.519,0.000580898,0.000580898,0.000580898
11,17.9714,0.95761,1.95509,1.16573,0.78757,0.64499,0.7067,0.62961,1.11203,2.48671,1.34598,0.000572628,0.000572628,0.000572628
12,19.2799,0.93062,1.84272,1.12327,0.724,0.69048,0.76124,0.6969,1.07985,2.13751,1.28564,0.000558491,0.000558491,0.000558491
13,20.571,0.93909,1.805,1.11233,0.78006,0.71366,0.72221,0.67245,1.12685,2.08162,1.31067,0.000544354,0.000544354,0.000544354
14,21.9588,0.90466,1.84411,1.11061,0.78835,0.80858,0.7364,0.68322,1.05641,2.2548,1.27899,0.000530216,0.000530216,0.000530216
15,23.3089,0.9214,1.83132,1.12314,0.84922,0.71617,0.75224,0.7122,1.03129,2.19683,1.28169,0.000516079,0.000516079,0.000516079
16,24.6422,0.86642,1.74887,1.09241,0.82243,0.84235,0.74268,0.68834,1.06253,1.9258,1.22979,0.000501942,0.000501942,0.000501942
17,26.0273,0.91212,1.76708,1.12114,0.83292,0.75394,0.76429,0.72925,1.11735,1.87353,1.32537,0.000487805,0.000487805,0.000487805
18,27.4642,0.8952,1.80356,1.1311,0.78845,0.85714,0.75641,0.71266,0.99409,1.88048,1.22548,0.000473668,0.000473668,0.000473668
19,28.7369,0.87737,1.69081,1.10602,0.82272,0.85714,0.73748,0.71517,0.97374,1.95916,1.22045,0.00045953,0.00045953,0.00045953
20,30.0233,0.87862,1.66511,1.09734,0.83884,0.80476,0.74994,0.72249,0.94669,1.5898,1.21577,0.000445393,0.000445393,0.000445393
21,31.3084,0.86917,1.6394,1.10917,0.83966,0.7819,0.75622,0.72976,1.05188,1.52338,1.27677,0.000431256,0.000431256,0.000431256
22,32.8208,0.87021,1.59768,1.09526,0.81565,0.78635,0.76905,0.74851,0.94934,1.69399,1.14363,0.000417119,0.000417119,0.000417119
23,34.1462,0.8954,1.66089,1.1033,0.78949,0.85142,0.75726,0.73732,0.92187,1.59907,1.13299,0.000402982,0.000402982,0.000402982
24,35.4349,0.8515,1.63787,1.09056,0.81344,0.84447,0.76462,0.74454,0.83816,1.50956,1.11601,0.000388844,0.000388844,0.000388844
25,36.693,0.85252,1.59284,1.09846,0.844,0.81429,0.7676,0.74534,0.81265,1.5735,1.10144,0.000374707,0.000374707,0.000374707
26,37.9979,0.80859,1.52625,1.06594,0.80714,0.85092,0.78246,0.75481,0.84514,1.6404,1.10929,0.00036057,0.00036057,0.00036057
27,39.3648,0.8226,1.5834,1.06969,0.80066,0.84857,0.79943,0.78035,0.83392,1.48551,1.11654,0.000346433,0.000346433,0.000346433
28,40.6436,0.79539,1.46502,1.05764,0.80654,0.85455,0.78266,0.76917,0.80581,1.3381,1.10862,0.000332296,0.000332296,0.000332296
29,41.9046,0.80151,1.52357,1.07301,0.83052,0.7972,0.75909,0.74154,0.80476,1.35727,1.09682,0.000318158,0.000318158,0.000318158
30,43.1885,0.7551,1.4525,1.02063,0.79569,0.85714,0.78669,0.76858,0.82906,1.48756,1.11204,0.000304021,0.000304021,0.000304021
31,44.4945,0.77487,1.48131,1.04356,0.83661,0.79601,0.77737,0.76248,0.80504,1.43983,1.12479,0.000289884,0.000289884,0.000289884
32,45.797,0.80032,1.53629,1.07383,0.83855,0.79298,0.78778,0.77132,0.80293,1.36756,1.12633,0.000275747,0.000275747,0.000275747
33,47.1174,0.77077,1.50172,1.07102,0.8029,0.85714,0.79466,0.77912,0.77754,1.2904,1.11631,0.00026161,0.00026161,0.00026161
34,48.4353,0.77977,1.46821,1.06004,0.80714,0.85714,0.77502,0.76113,0.81304,1.3287,1.1508,0.000247472,0.000247472,0.000247472
35,49.7214,0.72136,1.45804,1.03671,0.83624,0.78244,0.76326,0.74509,0.77784,1.29867,1.11954,0.000233335,0.000233335,0.000233335
36,51.0148,0.78686,1.47547,1.05066,0.81706,0.79524,0.76018,0.73729,0.74332,1.26147,1.07769,0.000219198,0.000219198,0.000219198
37,52.2874,0.71475,1.41171,1.02255,0.80952,0.85414,0.74863,0.72488,0.78227,1.26927,1.08523,0.000205061,0.000205061,0.000205061
38,53.6228,0.78492,1.44883,1.0635,0.82306,0.85714,0.74008,0.72286,0.79079,1.33367,1.10355,0.000190924,0.000190924,0.000190924
39,54.9423,0.71184,1.35747,1.03506,0.80647,0.85714,0.74332,0.72839,0.77845,1.36618,1.09935,0.000176786,0.000176786,0.000176786
40,56.2654,0.74878,1.35272,1.02943,0.79025,0.85604,0.73989,0.72392,0.77541,1.41613,1.09458,0.000162649,0.000162649,0.000162649
